ContactId,FirstName,LastName,FullName,DateOfBirth,Gender,EMail,Telephone,PostCode,StreetAddress,City,State,Country,CreatedOn,Loyalty Tier,Email Subscriber,Income,Occupation,CustomerSatisfaction
CNTID_1000,Abbie,Moss,Abbie Moss,5/8/1986,Female,abbie_moss@collinsreedandhoward.com,983.566.0706x9509,10753,129 Miller Plaza,Fairfield,California,USA,3/14/2017,high,Yes,256414.1127086401,Software Engineer,high
CNTID_1001,Kenneth,Beraun,Beraun Kenneth,8/1/1974,Male,kenneth_beraun@kimboyle.com,384.995.7852,40482,9720 William Prairie,Amarillo,Texas,USA,12/23/2018,medium,Yes,46732.467291769266,Teacher,high
CNTID_1002,Anthony,Koteles,Acthony Koteles,8/28/1975,Male,anthony_koteles@crawfordsimmonsandgreene.com,569-626-5660,28679,3958 Perez Centers Suite 216,Inglewood,California,USA,1/14/2019,medium,Yes,20000.0,Teacher,high
CNTID_1003,Michael,Lauser,Michael Lauser,9/3/2006,Male,michael_lauser@smithinc.com,001-811-506-2553x442,93991,15091 Haynes Neck,Nashville,Tennessee,USA,1/17/2019,medium,No,61917.706143952724,Teacher,medium
CNTID_1004,Richard,Nakada,Nakada Richard,7/30/1997,Male,richard_nakada@jonesholmesandmooney.com,857-147-6531,78389,3501 Thornton Radial,West Covina,California,USA,1/20/2019,medium,No,20000.0,Teacher,medium
f4444de5-664e-e911-a9ac-000d3a2d57c3,Robert,Kaucher,Kaucher Robert,3/8/1989,Male,robert_kaucher@stevenshansen.com,3347007637,47410,30112 Ricardo Greens Apt. 427,Costa Mesa,California,USA,1/31/2019,low,No,151662.88939478848,Software Engineer,low
CNTID_1006,Steven,Biondi,Steven Biondi,9/20/2016,Male,steven_biondi@salazarbarnesandwilliams.com,(067)681-4908,11513,873 Walker Motorway,Surprise,Arizona,USA,1/31/2019,medium,No,49263.048954797276,Software Engineer,low
CNTID_1007,Michael,Manni,Manni Michael,1/8/1979,Male,michael_manni@bautistacase.com,(837)364-9904x87242,65361,059 Green Port,Denton,Texas,USA,1/31/2019,medium,No,20000.0,Teacher,low
CNTID_1008,Michael,Glenna,Michael Glenna,1/3/1998,Male,michael_glenna@carterplc.com,787699373,34476,8963 Harris Keys Suite 743,Stockton,California,USA,1/31/2019,medium,No,23242.992770403755,Teacher,medium
CNTID_1009,James,Eiler,James Ecler,6/9/1984,Male,james_eiler@wilsonjohnsonandchan.com,001-849-959-4245x1045,23103,168 Joseph Passage Apt. 791,Minneapolis,Minnesota,USA,1/31/2019,medium,No,42136.51384363777,Software Engineer,high
