LoyaltyId,ContactId,FirstName,LastName,FullName,DateOfBirth,Gender,EMail,Telephone,RewardPoints,CreditCard,CreatedOn
LOYID_1000,CNTID_1000,Abbie,Moss,Moss Abbie,2018-05-08,Male,abbie_moss@collinsreedandhoward.com,983.566.0706x9509,293,Yes,2018-10-19
LOYID_1001,CNTID_1001,Kenneth,Beraun,Kenneth Beraun,1974-08-01,Male,kenneth_beraun@kimboyle.com,384.995.7852,248,No,2017-01-23
LOYID_1002,CNTID_1002,Anthony,Koteles,Anthony Koteles,1975-08-28,Male,anthony_koteles@crawfordsimmonsandgreene.com,+1-569-626-5660,154,No,2018-08-13
LOYID_1003,CNTID_1003,Michael,Lauser,Michael Lauser,2006-09-03,Male,michael_lauser@smithinc.com,001-811-506-2553x442,116,No,2017-07-03
LOYID_1004,CNTID_1004,Richard,Nakada,Richard Nakada,1997-07-30,Male,richard_nakada@jonesholmesandmooney.com,857-147-6531,249,No,2017-10-13
LOYID_1005,f4444de5-664e-e911-a9ac-000d3a2d57c3,Robert,Kaucher,Kaucher Robert,1989-03-08,Male,robert_kaucher@stevenshansen.com,3347007637,231,No,2018-12-03
LOYID_1006,CNTID_1006,Steven,Biondi,Steven Bzondi,2016-09-20,Male,steven_biondi@salazarbarnesandwilliams.com,(067)681-4908,155,Yes,2018-10-24
LOYID_1007,CNTID_1007,Michael,Manni,Michael Manni,1979-01-08,Male,michael_manni@bautistacase.com,(837)364-9904x87242,115,Yes,2018-06-21
LOYID_1008,CNTID_1008,Michael,Glenna,Michael Glenna,1998-01-03,Male,michael_glenna@carterplc.com,0787699373,264,No,2017-02-04
LOYID_1009,CNTID_1009,James,Eiler,James Eiler,1984-06-09,Male,james_eiler@wilsonjohnsonandchan.com,001-849-959-4245x1045,251,No,2017-06-17
LOYID_1010,CNTID_1010,Thomas,Hawkey,Thomas Hawkey,1972-09-07,Male,thomas_hawkey@allenltd.com,150-111-5060,138,Yes,2018-04-01
LOYID_1011,CNTID_1011,Paul,Hostetler,Paul Hostetler,2001-06-26,Male,paul_hostetler@whitebaxterandsimpson.com,145.729.6509x98208,182,Yes,2017-11-20
